EventID,PrimaryPDG,PrimaryMom,PrimaryPosX,PrimaryPosY,PrimaryPosZ,RICH1_Beta,RICH1_NPE,RICH2_Beta,RICH2_NPE,Calo_TotalE,Calo_EoP,DWC1_NHits,DWC1_TrackAngle,DWC2_NHits,DWC2_TrackAngle,DecayKinkDetected,SC1_Hit,SC2_Hit,TOF,Decayed,DecayPosX,DecayPosY,DecayPosZ,DecayTime,DecayProductPDG,ReconstructedPID,Survived,RunNumber
0.0,211.0,7.954128476752385,-0.7084104186191339,-0.3835231610672657,-50.0,0.999626886089729,57,0.999626886089729,59,0.023666058789528155,0.0029753176427432864,11,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
1.0,211.0,7.799826761985117,1.892213439261973,1.3265867240382165,-50.0,1.0005434269875502,62,1.0005434269875502,56,0.051607383249039365,0.006616478137766342,11,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
2.0,211.0,8.066027778298848,1.162792658695222,-1.0317149333040225,-50.0,0.9994019208747579,61,0.9994019208747579,64,0.17938929862404115,0.022240104243959714,10,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
3.0,211.0,7.900095917188756,-0.6938077394040656,-1.0763458841063198,-50.0,0.9998761350753915,61,0.9998761350753915,58,0.07332714424670442,0.009281804299003731,12,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
4.0,211.0,7.977624613662189,-0.5733649143755982,0.40341152992537,-50.0,0.9983097216101795,58,0.0,0,0.0,0.0,13,0.0,0,0.0,1,1,0,0.0,1,0.0,0.0,102.16622589154002,5.076495678115639e-09,-13,211.0,0,2
5.0,321.0,8.109840061609198,0.426961899071141,-1.407802795215274,-50.0,0.9968232191608342,60,0.0,0,0.0,0.0,11,0.0,0,0.0,1,1,0,0.0,1,0.0,0.0,732.6706437720446,2.615540987090843e-08,-13,321.0,0,2
6.0,211.0,8.00415680770863,1.2233960353617923,0.07699415217871966,-50.0,1.0004333846231612,62,1.0004333846231612,55,0.10176040954385869,0.012713445274567265,15,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
7.0,211.0,8.002945356062613,-0.8598858869013472,-1.551618741305197,-50.0,1.0001098906893622,56,1.0001098906893622,66,0.046755471279718644,0.005842282959523039,11,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
8.0,211.0,7.9750040116345575,-0.27087325195659256,-1.6729035225186235,-50.0,0.9994045573188034,64,0.9994045573188034,58,0.11067218117722133,0.013877382508618695,12,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
9.0,211.0,7.954972406049246,-0.6536306703672056,-1.3650043935033604,-50.0,0.9998579368552254,56,0.9998579368552254,61,0.0796853293147376,0.010017046602718824,11,0.0,14,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
10.0,211.0,7.792431619012149,-0.8546156305206378,0.9413930516089486,-50.0,1.000711569673074,58,1.000711569673074,56,0.163729052078395,0.0210112914791482,11,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
11.0,211.0,7.958583097386135,-0.16133423765997676,0.14187227656056825,-50.0,0.9990521209551134,58,0.9990521209551134,59,0.042050893175862664,0.005283716041071882,12,0.0,10,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
