EventID,PrimaryPDG,PrimaryMom,PrimaryPosX,PrimaryPosY,PrimaryPosZ,RICH1_Beta,RICH1_NPE,RICH2_Beta,RICH2_NPE,Calo_TotalE,Calo_EoP,DWC1_NHits,DWC1_TrackAngle,DWC2_NHits,DWC2_TrackAngle,DecayKinkDetected,SC1_Hit,SC2_Hit,TOF,Decayed,DecayPosX,DecayPosY,DecayPosZ,DecayTime,DecayProductPDG,ReconstructedPID,Survived,RunNumber
0.0,211.0,7.945347835758297,0.317599109570847,-2.5503442471556186,-50.0,0.9987603364230991,58,0.9987603364230991,57,0.04187591101063847,0.005270494366800981,12,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
1.0,211.0,7.9634136501236865,1.2331708510428743,0.014108468163653555,-50.0,1.0001919463101177,63,1.0001919463101177,68,0.1247899572800896,0.015670410048101845,12,0.0,10,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
2.0,211.0,8.048954729038865,0.4073263377527812,-0.6487596037988858,-50.0,0.9997756157815807,60,0.9997756157815807,61,0.13840333402871,0.01719519349877582,10,0.0,14,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
3.0,211.0,8.063762053043481,0.8688329847487242,1.6851332957101186,-50.0,0.9988550601916542,60,0.9988550601916542,62,0.09022017868687611,0.011188348328411375,12,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
4.0,211.0,7.959718618178441,-1.0435016206627223,0.3579727606472642,-50.0,0.999731841779753,58,0.999731841779753,58,0.07274790238436188,0.009139506793395924,12,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5.0,211.0,7.759985318221778,-1.251524168720475,1.1050961367290681,-50.0,1.0011600344849834,58,1.0011600344849834,60,0.14314768946069123,0.018446902099744426,11,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
6.0,211.0,7.941875712837642,-1.7063520745191305,0.4078223516058517,-50.0,1.0012177863128848,57,1.0012177863128848,63,0.02553073261069201,0.003214698080633882,15,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
7.0,211.0,7.932513513110904,0.3585710680952804,1.8451643053006228,-50.0,1.0003626975123427,63,1.0003626975123427,62,0.15836032590757063,0.019963448615099334,13,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
8.0,211.0,8.058699972330661,2.0674936251072986,0.05854417916315993,-50.0,1.0003426763249041,63,1.0003426763249041,59,0.16420558164284532,0.020376187500048513,13,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
9.0,211.0,7.948077343630058,-0.512071361751705,0.7769810975085273,-50.0,0.9991829859859235,55,0.9991829859859235,63,0.15576489564755291,0.01959780823879247,11,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
